"","Nom_Gare","INSEE_REG","NOM_REG","INSEE_DEP","NOM_DEP","Latitude","Longitude"
"1","Aix-en-Provence TGV",84,"Auvergne-Rhône-Alpes",1,"Ain",46.097,4.847
"2","Bellegarde",84,"Auvergne-Rhône-Alpes",1,"Ain",46.114,5.824
"3","Bourg-en-Bresse",84,"Auvergne-Rhône-Alpes",1,"Ain",46.196,5.275
"4","Cluses",84,"Auvergne-Rhône-Alpes",1,"Ain",46.171,5.577
"5","Nurieux",84,"Auvergne-Rhône-Alpes",1,"Ain",46.181,5.521
"6","Antibes",93,"Provence-Alpes-Côte d'Azur",6,"Alpes-Maritimes",43.584,7.108
"7","Cannes",93,"Provence-Alpes-Côte d'Azur",6,"Alpes-Maritimes",43.653,7.146
"8","Menton",93,"Provence-Alpes-Côte d'Azur",6,"Alpes-Maritimes",43.774,7.489
"9","Nice-Ville",93,"Provence-Alpes-Côte d'Azur",6,"Alpes-Maritimes",43.697,7.272
"10","Charleville-Mézières",44,"Grand Est",8,"Ardennes",49.771,4.72
"11","Rethel",44,"Grand Est",8,"Ardennes",49.5,4.402
"12","Sedan",44,"Grand Est",8,"Ardennes",49.705,4.943
"13","Dijon-Ville",44,"Grand Est",10,"Aube",48.119,4.789
"14","Carcassonne",76,"Occitanie",11,"Aude",43.179,2.405
"15","Narbonne",76,"Occitanie",11,"Aude",43.182,3.026
"16","Arles",93,"Provence-Alpes-Côte d'Azur",13,"Bouches-du-Rhône",43.641,5.071
"17","Avignon TGV",93,"Provence-Alpes-Côte d'Azur",13,"Bouches-du-Rhône",43.657,5.095
"18","Marseille-Saint-Charles",93,"Provence-Alpes-Côte d'Azur",13,"Bouches-du-Rhône",43.255,5.432
"19","Miramas",93,"Provence-Alpes-Côte d'Azur",13,"Bouches-du-Rhône",43.643,5.021
"20","Angoulême",75,"Nouvelle-Aquitaine",16,"Charente",45.655,0.151
"21","Champagne-Ardenne TGV",75,"Nouvelle-Aquitaine",16,"Charente",45.62,-0.222
